acRate,difficulty,frontendQuestionId,isFavor,paidOnly,title,titleSlug,topicTags,hasSolution,hasVideoSolution
55.32585431246137,Easy,1,FALSE,FALSE,Two Sum,two-sum,"['Array', 'Hash Table']",TRUE,TRUE
45.704411110949664,Medium,2,FALSE,FALSE,Add Two Numbers,add-two-numbers,"['Linked List', 'Math', 'Recursion']",TRUE,TRUE
36.53266195940197,Medium,3,FALSE,FALSE,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,"['Hash Table', 'String', 'Sliding Window']",TRUE,TRUE
43.21953807396498,Hard,4,FALSE,FALSE,Median of Two Sorted Arrays,median-of-two-sorted-arrays,"['Array', 'Binary Search', 'Divide and Conquer']",TRUE,TRUE
35.481251820068806,Medium,5,FALSE,FALSE,Longest Palindromic Substring,longest-palindromic-substring,"['Two Pointers', 'String', 'Dynamic Programming']",TRUE,TRUE
51.05351030920713,Medium,6,FALSE,FALSE,Zigzag Conversion,zigzag-conversion,['String'],TRUE,TRUE
29.998962373693704,Medium,7,FALSE,FALSE,Reverse Integer,reverse-integer,['Math'],TRUE,TRUE
18.883423761472542,Medium,8,FALSE,FALSE,String to Integer (atoi),string-to-integer-atoi,['String'],TRUE,FALSE
58.85029573775268,Easy,9,FALSE,FALSE,Palindrome Number,palindrome-number,['Math'],TRUE,TRUE
29.05733389816218,Hard,10,FALSE,FALSE,Regular Expression Matching,regular-expression-matching,"['String', 'Dynamic Programming', 'Recursion']",TRUE,FALSE
57.38637078890165,Medium,11,FALSE,FALSE,Container With Most Water,container-with-most-water,"['Array', 'Two Pointers', 'Greedy']",TRUE,TRUE
68.0793132571126,Medium,12,FALSE,FALSE,Integer to Roman,integer-to-roman,"['Hash Table', 'Math', 'String']",TRUE,TRUE
64.40139450155587,Easy,13,FALSE,FALSE,Roman to Integer,roman-to-integer,"['Hash Table', 'Math', 'String']",TRUE,TRUE
45.09105460550747,Easy,14,FALSE,FALSE,Longest Common Prefix,longest-common-prefix,"['String', 'Trie']",TRUE,TRUE
36.65510003440354,Medium,15,FALSE,FALSE,3Sum,3sum,"['Array', 'Two Pointers', 'Sorting']",TRUE,TRUE
46.68625194837994,Medium,16,FALSE,FALSE,3Sum Closest,3sum-closest,"['Array', 'Two Pointers', 'Sorting']",TRUE,TRUE
63.35228021426222,Medium,17,FALSE,FALSE,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,"['Hash Table', 'String', 'Backtracking']",TRUE,FALSE
37.795272452845,Medium,18,FALSE,FALSE,4Sum,4sum,"['Array', 'Two Pointers', 'Sorting']",TRUE,FALSE
48.39138170474623,Medium,19,FALSE,FALSE,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"['Linked List', 'Two Pointers']",TRUE,TRUE
42.014175046505926,Easy,20,FALSE,FALSE,Valid Parentheses,valid-parentheses,"['String', 'Stack']",TRUE,TRUE
66.47977328505019,Easy,21,FALSE,FALSE,Merge Two Sorted Lists,merge-two-sorted-lists,"['Linked List', 'Recursion']",TRUE,TRUE
76.73858637694374,Medium,22,FALSE,FALSE,Generate Parentheses,generate-parentheses,"['String', 'Dynamic Programming', 'Backtracking']",TRUE,TRUE
56.13993332098537,Hard,23,FALSE,FALSE,Merge k Sorted Lists,merge-k-sorted-lists,"['Linked List', 'Divide and Conquer', 'Heap (Priority Queue)', 'Merge Sort']",TRUE,TRUE
66.73748832489265,Medium,24,FALSE,FALSE,Swap Nodes in Pairs,swap-nodes-in-pairs,"['Linked List', 'Recursion']",TRUE,FALSE
62.38060257554574,Hard,25,FALSE,FALSE,Reverse Nodes in k-Group,reverse-nodes-in-k-group,"['Linked List', 'Recursion']",TRUE,FALSE
59.790431572862026,Easy,26,FALSE,FALSE,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,"['Array', 'Two Pointers']",TRUE,TRUE
59.670013626256214,Easy,27,FALSE,FALSE,Remove Element,remove-element,"['Array', 'Two Pointers']",TRUE,TRUE
44.64272830268887,Easy,28,FALSE,FALSE,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,"['Two Pointers', 'String', 'String Matching']",TRUE,TRUE
18.22850544373474,Medium,29,FALSE,FALSE,Divide Two Integers,divide-two-integers,"['Math', 'Bit Manipulation']",TRUE,FALSE
32.85574702797397,Hard,30,FALSE,FALSE,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,"['Hash Table', 'String', 'Sliding Window']",TRUE,TRUE
42.57286061559552,Medium,31,FALSE,FALSE,Next Permutation,next-permutation,"['Array', 'Two Pointers']",TRUE,TRUE
35.88470902571685,Hard,32,FALSE,FALSE,Longest Valid Parentheses,longest-valid-parentheses,"['String', 'Dynamic Programming', 'Stack']",TRUE,FALSE
42.49761626349072,Medium,33,FALSE,FALSE,Search in Rotated Sorted Array,search-in-rotated-sorted-array,"['Array', 'Binary Search']",TRUE,FALSE
46.37332727775251,Medium,34,FALSE,FALSE,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,"['Array', 'Binary Search']",TRUE,FALSE
48.56338276522516,Easy,35,FALSE,FALSE,Search Insert Position,search-insert-position,"['Array', 'Binary Search']",TRUE,TRUE
61.88105753166876,Medium,36,FALSE,FALSE,Valid Sudoku,valid-sudoku,"['Array', 'Hash Table', 'Matrix']",TRUE,FALSE
